#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
910,Jose Cruz,SF,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.43,4.77,1.52,9.3,5.2,9.0,0.5,4.7,5.1,1,43.2,35.3,21.5,0.310,678804
911,Walter Pennington,KC,RP,L,9.3,0.0,0.0,40.5,9.3,0.5,0.5,0,1,4.25,4.87,1.52,7.0,4.2,10.0,0.4,4.3,4.7,1,52.3,26.4,21.4,0.328,679156
912,Freddy Pacheco,DET,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.49,4.71,1.42,9.2,4.5,8.7,0.4,4.7,5.0,1,37.9,40.8,21.3,0.295,681643
913,Angel Chivilli,COL,RP,R,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,5.30,5.82,1.55,6.8,3.9,10.6,0.5,4.8,5.2,1,44.7,34.0,21.3,0.329,683409
914,Nate Fisher,FA,RP,L,9.3,0.0,0.0,37.2,9.3,0.4,0.5,0,1,4.84,5.14,1.40,7.1,3.3,9.7,0.5,5.0,5.3,2,35.5,44.2,20.3,0.286,688010
915,Joe Barlow,CHW,RP,R,13.2,0.0,0.0,39.9,9.2,0.4,0.5,0,1,5.02,5.07,1.42,7.5,3.8,9.3,0.4,5.1,5.4,2,35.2,44.7,20.2,0.277,669618
916,Brendon Little,TOR,SP,L,2.4,1.6,0.7,35.5,8.8,0.5,0.5,0,0,4.31,5.19,1.64,6.0,3.9,10.5,0.4,4.3,4.7,1,53.7,26.0,20.3,0.308,663893
917,Tommy Milone,FA,SP,L,4.3,1.2,0.4,34.0,8.5,0.7,1.2,0,0,5.11,5.64,1.49,6.1,2.8,9.8,0.3,4.8,5.1,2,35.3,43.7,21.0,0.290,7608
918,Brandon Hughes,ARI,RP,L,10.5,0.0,0.0,36.3,8.4,0.4,0.4,0,1,4.31,4.57,1.35,8.7,3.7,7.6,0.4,4.1,4.3,1,34.8,45.0,20.1,0.288,676714
919,Riley Pint,COL,RP,R,27.7,0.0,0.0,36.8,8.3,0.4,0.4,0,3,4.82,5.40,1.61,7.8,5.2,8.2,0.5,3.9,4.2,1,49.1,30.7,20.3,0.330,666207
920,Tommy Nance,SD,RP,R,8.2,0.0,0.0,35.0,8.2,0.4,0.4,0,1,3.87,4.14,1.37,8.2,3.3,7.9,0.4,3.6,4.0,1,47.1,32.8,20.1,0.307,667297
921,Mitchell Parker,WSH,SP,L,1.6,1.6,0.6,35.5,8.0,0.4,0.6,0,0,5.02,5.57,1.56,6.5,4.2,8.3,0.3,4.4,4.7,1,39.7,39.2,21.1,0.303,680730
922,DJ Herz,WSH,SP,L,1.6,1.6,0.6,35.5,8.0,0.4,0.6,0,0,4.97,5.42,1.56,7.6,4.8,7.7,0.5,4.4,4.7,1,38.4,40.7,20.9,0.298,687792
923,Zach Muckenhirn,FA,RP,L,5.0,0.0,0.0,30.0,7.5,0.3,0.4,0,0,4.78,5.19,1.53,5.3,3.2,8.3,0.3,4.0,4.3,1,44.2,35.1,20.7,0.311,669105
924,Joey Krehbiel,SEA,RP,R,9.3,0.0,0.0,29.6,7.4,0.3,0.4,0,1,4.61,4.72,1.40,6.3,2.9,7.5,0.3,3.9,4.2,1,41.9,37.9,20.2,0.285,607216
925,Cole Waites,SF,RP,R,9.3,0.0,0.0,29.6,7.4,0.3,0.4,0,1,4.29,4.47,1.44,7.6,3.8,6.9,0.3,3.6,3.9,1,40.4,39.6,20.0,0.297,686972
926,Carson Fulmer,LAA,RP,R,6.2,0.0,0.0,29.5,6.8,0.3,0.4,0,1,4.89,5.02,1.54,5.6,3.4,7.0,0.4,3.6,3.9,1,45.8,33.9,20.3,0.302,18311
927,Casey Sadler,FA,RP,R,6.8,0.0,0.0,27.2,6.8,0.3,0.3,0,1,4.28,4.47,1.38,5.9,2.5,6.9,0.3,3.2,3.5,1,45.4,34.4,20.2,0.302,594987
928,Casey Lawrence,SEA,RP,R,6.2,0.0,0.0,27.2,6.8,0.3,0.3,0,2,4.38,4.51,1.27,5.4,1.4,7.2,0.3,3.4,3.6,1,41.2,38.4,20.4,0.291,596271
929,Daniel Zamora,FA,RP,L,6.8,0.0,0.0,27.2,6.8,0.3,0.4,0,1,4.68,5.20,1.53,5.6,3.3,7.1,0.4,3.5,3.8,1,42.7,36.3,21.0,0.306,623354
930,Jonah Dipoto,KC,RP,R,6.8,0.0,0.0,27.2,6.8,0.3,0.4,0,1,4.96,5.50,1.59,5.7,3.8,7.0,0.4,3.7,3.9,1,43.4,35.0,21.6,0.317,665167
931,Wyatt Short,FA,SP,L,1.2,1.2,0.5,21.5,6.8,0.4,0.4,0,0,5.15,5.49,1.56,4.8,3.1,7.6,0.4,3.9,4.2,1,43.6,35.5,20.8,0.306,670151
932,Josimar Cousin,CHW,SP,R,1.2,1.2,0.5,27.2,6.8,0.4,0.4,0,0,5.11,5.35,1.47,4.9,2.4,7.6,0.3,3.8,4.1,1,41.9,36.9,21.3,0.299,814300
933,Tyler Phillips,PHI,RP,R,6.6,0.0,0.0,26.4,6.6,1.2,1.5,0,0,4.36,5.29,1.57,4.7,2.3,8.1,0.3,3.2,3.4,1,49.8,28.9,21.2,0.313,663969
934,J.C. Flowers,PIT,RP,R,6.6,0.0,0.0,20.5,6.6,0.3,0.3,0,1,4.56,4.94,1.53,5.0,3.0,7.1,0.3,3.3,3.6,1,48.5,30.1,21.5,0.317,669001
935,Caleb Freeman,CHW,RP,R,6.6,0.0,0.0,26.4,6.6,0.3,0.4,0,1,5.16,5.57,1.60,5.6,3.7,6.9,0.3,3.8,4.0,1,39.9,38.6,21.5,0.299,673965
936,Alex Mauricio,NYY,RP,R,6.6,0.0,0.0,26.4,6.6,0.3,0.3,0,1,5.06,5.35,1.51,5.4,2.9,7.0,0.3,3.7,3.9,1,39.3,39.3,21.4,0.297,676089
937,Bailey Horn,CHW,SP,L,1.8,1.2,0.4,26.6,6.6,0.3,0.5,0,0,5.20,6.41,1.75,4.7,3.1,8.4,0.3,3.8,4.1,1,39.6,39.2,21.2,0.298,690544
938,Mike Vasil,NYM,SP,R,1.3,1.3,0.5,28.2,6.5,0.4,0.4,0,0,4.53,4.74,1.38,5.8,2.2,6.7,0.3,3.4,3.6,1,40.0,38.8,21.2,0.296,678024
939,Matt Foster,CHW,RP,R,6.3,0.0,0.0,27.1,6.3,0.3,0.3,0,1,4.63,4.65,1.34,5.8,2.4,6.1,0.2,3.2,3.4,1,34.2,45.7,20.1,0.275,641582
940,Lou Trivino,NYY,RP,R,6.3,0.0,0.0,27.1,6.3,0.3,0.3,0,1,4.07,4.31,1.37,6.3,2.5,6.1,0.3,2.8,3.1,1,44.5,35.7,19.8,0.304,642152
941,Trevor Stephan,CLE,RP,R,6.3,0.0,0.0,25.2,6.3,0.3,0.3,3,2,3.95,4.07,1.28,6.9,2.3,5.7,0.3,2.8,3.0,1,39.0,41.1,19.8,0.296,663986
942,Brendan McKay,TB,SP,L,1.2,1.2,0.5,25.9,6.0,0.3,0.4,0,0,4.69,4.74,1.38,5.5,2.3,6.0,0.3,3.2,3.4,1,36.5,43.1,20.3,0.286,656713
943,Davis Martin,CHW,SP,R,1.2,1.2,0.5,25.7,6.0,0.3,0.4,0,0,4.77,4.89,1.41,5.0,2.2,6.2,0.3,3.2,3.4,1,41.2,38.5,20.3,0.291,663436
944,Cole Henry,WSH,SP,R,1.2,1.2,0.5,25.9,6.0,0.3,0.4,0,0,5.02,5.27,1.47,4.9,2.5,6.4,0.3,3.3,3.5,1,40.9,37.9,21.2,0.303,669371
945,Adam Macko,TOR,SP,L,1.2,1.2,0.5,24.0,6.0,0.3,0.4,0,0,5.00,5.45,1.62,4.7,3.3,6.4,0.3,3.4,3.6,1,44.0,35.0,21.0,0.304,671936
946,Mike Burrows,PIT,SP,R,1.2,1.2,0.5,24.0,6.0,0.3,0.4,0,0,4.84,5.12,1.40,5.0,2.3,6.1,0.3,3.2,3.4,1,37.0,41.9,21.1,0.296,681347
947,Wikelman Gonzalez,BOS,SP,R,1.2,1.2,0.5,24.0,6.0,0.3,0.4,0,0,5.30,5.63,1.58,5.4,3.4,6.1,0.3,3.3,3.5,1,40.9,38.3,20.8,0.308,682790
948,Daniel Espino,CLE,SP,R,1.2,1.2,0.5,24.0,6.0,0.3,0.3,0,0,4.25,4.41,1.35,6.1,2.3,5.8,0.2,2.9,3.1,1,40.9,38.3,20.9,0.298,682982
949,Michael Arias,CHC,SP,R,1.2,1.2,0.4,24.0,6.0,0.3,0.4,0,0,5.75,6.16,1.78,4.4,4.0,6.7,0.3,3.8,4.1,1,43.5,35.5,20.9,0.313,683522
950,Royber Salinas,OAK,SP,R,1.2,1.2,0.5,24.6,6.0,0.3,0.4,0,0,4.49,4.85,1.47,5.6,3.0,5.8,0.3,3.1,3.3,1,42.4,36.7,20.9,0.298,683690
951,Seth Johnson,BAL,SP,R,1.2,1.2,0.5,24.0,6.0,0.3,0.4,0,0,4.79,4.99,1.46,4.7,2.3,6.4,0.3,3.2,3.4,1,44.2,34.6,21.1,0.304,686751
952,Ryan Jensen,MIN,SP,R,1.2,1.2,0.4,15.5,6.0,0.3,0.4,0,0,5.03,5.30,1.62,4.7,3.3,6.4,0.3,3.5,3.7,1,45.9,33.9,20.2,0.305,686754
953,Trevor McDonald,SF,SP,R,1.2,1.2,0.5,24.5,6.0,0.3,0.4,0,0,4.96,5.25,1.62,4.0,2.9,6.9,0.3,3.4,3.7,1,51.3,27.5,21.2,0.319,686790
954,Jack Kochanowicz,LAA,SP,R,1.2,1.2,0.4,24.0,6.0,0.3,0.4,0,0,5.40,5.63,1.58,3.5,2.2,7.2,0.3,3.5,3.8,1,48.3,30.3,21.4,0.315,686799
955,Bradley Blalock,MIL,SP,R,1.2,1.2,0.4,24.0,6.0,0.3,0.4,0,0,5.49,5.82,1.62,4.2,2.8,6.9,0.3,3.6,3.9,1,43.6,35.2,21.2,0.308,687134
956,Porter Hodge,CHC,SP,R,1.2,1.2,0.5,24.9,6.0,0.3,0.4,0,0,5.06,5.48,1.57,5.0,3.1,6.3,0.4,3.4,3.6,1,42.2,36.8,21.0,0.308,687863
957,Landon Knack,LAD,SP,R,1.2,1.2,0.5,24.0,6.0,0.4,0.3,0,0,4.76,5.73,1.58,4.4,1.8,7.7,0.2,3.2,3.5,1,40.9,37.8,21.3,0.300,689017
958,Luis Perales,BOS,SP,R,1.2,1.2,0.4,24.0,6.0,0.3,0.4,0,0,6.23,6.65,1.74,4.3,3.7,6.8,0.3,3.9,4.1,1,38.6,40.4,21.0,0.309,691384
959,Jose Corniell,TEX,SP,R,1.2,1.2,0.4,25.8,6.0,0.3,0.4,0,0,5.79,6.22,1.65,4.2,3.0,6.9,0.4,3.7,3.9,1,41.7,37.1,21.2,0.309,692030
960,Nick Frasso,LAD,SP,R,1.2,1.2,0.5,24.0,6.0,0.4,0.3,0,0,4.55,4.83,1.40,5.0,2.0,6.4,0.3,3.1,3.3,1,43.1,35.8,21.1,0.301,693308
961,Hagen Danner,TOR,RP,R,19.8,0.0,0.0,25.0,5.9,0.3,0.3,0,2,3.96,4.02,1.27,6.2,2.3,5.2,0.2,2.6,2.8,1,38.3,42.1,19.6,0.280,668470
962,Luis Oviedo,FA,RP,R,5.6,0.0,0.0,23.2,5.6,0.3,0.3,0,1,4.98,5.33,1.58,4.6,3.1,5.8,0.4,3.1,3.3,1,43.5,36.2,20.3,0.303,665854
963,Austin Warren,SF,RP,R,6.3,0.0,0.0,22.0,5.0,0.2,0.3,0,1,4.44,4.59,1.43,4.2,2.0,5.2,0.3,2.5,2.7,1,44.3,35.5,20.1,0.305,681810
