#,Name,Team,POS,R/L,G,GS,QS,TBF,IP,W,L,SV,HLD,ERA,SIERA,WHIP,K,BB,H,HBP,ER,R,HR,GB%,FB%,LD%,BABIP,RazzID
826,Nick Dombkowski,PIT,RP,L,13.1,0.0,0.0,31.7,13.1,0.6,0.7,0,1,4.88,5.23,1.43,9.4,4.8,14.0,0.5,7.1,7.6,2,37.2,41.4,21.4,0.295,694298
827,Connor Cooke,TOR,RP,R,13.1,0.0,0.0,56.3,13.1,0.6,0.6,0,1,4.09,4.26,1.32,13.7,5.2,12.1,0.7,6.1,6.5,2,38.4,40.5,21.1,0.291,701566
828,Chad Smith,FA,RP,R,9.3,0.0,0.0,52.0,13.0,0.6,0.6,0,1,4.29,4.58,1.49,11.9,6.5,12.8,0.6,6.2,6.7,1,48.6,31.4,20.0,0.307,663385
829,Ian Anderson,ATL,SP,R,2.6,2.6,1.1,56.5,13.0,0.9,0.6,0,0,4.55,4.60,1.43,11.7,5.4,13.2,0.4,6.5,7.0,2,45.3,34.6,20.1,0.305,666120
830,Sam Long,KC,RP,L,11.8,0.0,0.0,56.6,13.0,0.6,0.7,0,2,4.63,4.90,1.42,10.7,5.5,13.0,0.5,6.5,7.0,2,38.7,41.4,19.9,0.298,669674
831,Matt Canterino,MIN,SP,R,2.6,2.6,1.1,56.3,13.0,0.7,0.8,0,0,4.56,4.66,1.38,12.5,5.2,12.7,0.5,6.8,7.2,2,37.7,41.3,21.0,0.295,683764
832,Blake Walston,ARI,SP,L,2.6,2.6,0.9,52.0,13.0,0.7,0.8,0,0,5.23,5.81,1.59,8.8,5.9,14.8,0.6,7.6,8.1,2,40.4,38.4,21.2,0.312,686796
833,Cristian Mena,ARI,SP,R,2.6,2.6,1.0,56.3,13.0,0.7,0.8,0,0,4.94,5.23,1.51,10.5,5.7,13.9,0.5,7.2,7.7,2,41.6,37.2,21.2,0.312,691441
834,Sem Robberse,STL,SP,R,2.6,2.6,1.0,56.3,13.0,0.7,0.8,0,0,4.96,5.32,1.51,9.2,5.3,14.4,0.6,7.3,7.8,2,44.5,34.2,21.3,0.308,691828
835,Yoniel Curet,TB,SP,R,2.6,2.6,0.8,53.9,13.0,0.7,0.9,0,0,5.75,6.14,1.79,10.4,9.3,13.9,0.9,8.4,9.0,2,42.5,36.6,20.9,0.304,692414
836,Tekoah Roby,STL,SP,R,2.6,2.6,1.1,52.0,13.0,0.8,0.7,0,0,4.67,4.95,1.41,10.4,4.6,13.6,0.6,6.9,7.3,2,41.8,37.1,21.1,0.302,694358
837,Wilmer Flores,DET,SP,R,2.6,2.6,1.1,52.0,13.0,0.7,0.8,0,0,4.51,5.36,1.55,9.3,4.1,16.0,0.7,6.6,7.1,2,47.4,31.3,21.3,0.309,695865
838,Jacob deGrom,TEX,SP,R,2.5,2.5,1.4,50.6,12.8,0.8,0.5,0,0,2.82,2.51,0.93,17.9,2.8,9.2,0.4,3.9,4.2,1,38.9,42.0,19.1,0.272,10954
839,Kyle Leahy,STL,RP,R,21.1,0.0,0.0,50.8,12.7,0.6,0.6,0,2,4.45,4.71,1.45,10.0,5.3,13.1,0.5,6.4,6.9,2,45.9,34.2,19.9,0.303,681517
840,Dylan Dodd,ATL,SP,L,2.6,2.6,1.0,50.8,12.7,0.8,0.6,0,0,4.87,5.91,1.61,8.4,3.7,16.8,0.4,6.8,7.3,2,42.0,37.4,20.6,0.308,689266
841,Jeff Criswell,COL,SP,R,2.5,2.5,1.0,54.1,12.5,0.5,0.9,0,0,5.75,6.32,1.57,9.0,5.3,14.3,0.5,7.0,7.5,2,39.4,39.5,21.2,0.321,676105
842,Cade Horton,CHC,SP,R,2.5,2.5,1.1,53.5,12.5,0.7,0.8,0,0,4.55,4.84,1.40,11.1,4.6,12.9,0.5,6.3,6.8,2,41.6,37.3,21.1,0.305,690990
843,Andrew Suarez,BAL,RP,L,12.4,0.0,0.0,53.7,12.4,0.6,0.6,0,1,4.31,4.69,1.41,10.2,4.9,12.6,0.4,6.0,6.4,2,42.9,36.8,20.3,0.297,605498
844,Dustin May,LAD,RP,R,9.2,0.8,0.4,50.6,12.4,0.7,0.6,0,1,3.56,3.50,1.22,13.3,4.0,11.1,0.6,5.0,5.4,1,45.9,34.6,19.4,0.281,669160
845,Chase Lee,TEX,RP,R,12.4,0.0,0.0,36.3,12.4,0.7,0.6,0,1,3.82,4.16,1.33,12.7,4.7,11.8,0.6,5.0,5.5,1,48.5,30.3,21.2,0.310,695445
846,Rony Garcia,FA,RP,R,9.9,0.6,0.2,46.2,12.3,0.6,0.7,0,1,4.72,4.66,1.34,11.7,4.8,11.7,0.7,6.4,6.8,2,35.4,44.4,20.1,0.280,665621
847,Carson Coleman,TEX,RP,R,12.3,0.0,0.0,53.3,12.3,0.6,0.6,0,1,4.61,5.01,1.45,11.7,5.5,12.3,0.8,6.1,6.5,2,41.8,36.9,21.3,0.305,679693
848,T.J. McFarland,OAK,RP,L,24.3,0.0,0.0,53.3,12.2,0.6,0.6,0,2,4.04,4.54,1.48,8.8,4.7,13.4,0.6,5.7,6.2,1,54.0,25.0,21.0,0.320,3237
849,Zach Thompson,TOR,SP,R,7.4,1.2,0.4,46.2,12.2,1.4,1.9,0,0,4.80,5.36,1.51,8.7,4.1,14.3,0.5,6.6,7.1,2,41.4,38.3,20.3,0.297,605507
850,Albert Abreu,FA,RP,R,9.3,0.0,0.0,48.4,12.1,0.6,0.6,0,1,4.37,4.54,1.44,12.1,6.3,11.2,0.7,5.9,6.3,1,43.9,36.4,19.7,0.294,656061
851,Packy Naughton,STL,RP,L,9.3,0.0,0.0,48.4,12.1,0.6,0.6,0,1,3.84,4.15,1.32,10.6,4.1,11.9,0.5,5.3,5.7,1,46.1,33.8,20.2,0.303,676050
852,Justin Garza,SF,RP,R,10.5,0.0,0.0,49.1,11.6,0.5,0.6,0,1,4.59,4.65,1.44,10.6,5.3,11.4,0.5,6.1,6.5,2,39.4,40.6,19.9,0.294,621057
853,Lane Ramsey,CHW,RP,R,12.6,0.0,0.0,45.2,11.3,0.5,0.6,0,3,4.92,5.17,1.52,10.0,5.8,11.4,0.5,6.2,6.6,2,38.2,41.6,20.2,0.292,682010
854,Alan Busenitz,CIN,RP,R,9.3,0.0,0.0,48.5,11.2,0.5,0.6,0,1,4.94,5.09,1.46,9.7,4.6,11.7,0.5,5.8,6.2,2,41.2,38.8,20.0,0.298,641427
855,Reiss Knehr,SD,RP,R,9.3,0.0,0.0,34.6,11.2,0.5,0.6,0,1,4.24,4.48,1.39,10.5,4.8,10.8,0.6,5.4,5.8,2,41.4,38.4,20.1,0.292,663753
856,Juan Then,CHW,RP,R,9.3,0.0,0.0,44.8,11.2,0.5,0.6,0,1,4.76,4.98,1.50,8.1,4.8,12.0,0.5,5.9,6.4,2,47.2,32.6,20.1,0.300,672730
857,Jose Quijada,LAA,RP,L,12.3,0.0,0.0,47.4,11.1,0.6,0.5,0,4,4.11,4.24,1.34,12.7,5.4,9.5,0.5,5.0,5.3,2,37.4,42.7,20.0,0.283,650671
858,Diego Castillo,TEX,RP,R,9.9,0.0,0.0,47.6,10.9,0.5,0.5,2,2,4.69,4.92,1.46,9.6,5.1,10.8,0.6,5.4,5.9,2,44.3,35.5,20.2,0.296,650895
