#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
741,Brett Phillips,CHW,L,DH,OF,9,23,21,2.4,0.7,2.2,0.6,3.6,2.2,0.7,0.1,6.7,9.3,2.3,0.2,0.2,0.2,0.2,0.178,0.264,0.326,0.590,0.275,14735
742,Yu Chang,TB,R,SS,SS,9,23,21,2.6,0.7,2.6,0.3,4.6,2.9,1.0,0.1,7.9,6.6,1.4,0.3,0.2,0.2,0.1,0.220,0.274,0.375,0.649,0.281,14773
743,Mike Moustakas,FA,L,1B/3B,1B/3B,9,23,21,2.6,0.7,2.6,0.1,4.7,3.0,1.0,0.0,7.9,6.0,1.7,0.3,0.2,0.1,0.0,0.227,0.290,0.377,0.668,0.281,4892
744,Ji Man Choi,NYM,L,DH,1B,9,23,20,2.8,0.8,2.7,0.1,4.6,2.6,1.1,0.0,8.1,6.9,2.8,0.2,0.2,0.1,0.0,0.228,0.327,0.409,0.735,0.303,5452
745,Matt Beaty,FA,L,DH,1B,9,23,20,2.5,0.4,2.2,0.1,4.6,3.3,0.9,0.1,7.0,5.1,1.7,0.6,0.2,0.1,0.0,0.229,0.306,0.344,0.650,0.283,607461
746,Kevin Newman,FA,R,3B,1B/2B/ SS/3B,9,23,21,2.5,0.3,2.2,0.5,5.5,4.0,1.1,0.1,7.6,3.2,1.4,0.2,0.2,0.2,0.2,0.261,0.307,0.362,0.669,0.292,621028
747,Brian O’Keefe,MIN,R,C,C,9,23,21,2.5,0.7,2.4,0.2,4.2,2.6,0.9,0.0,7.2,6.8,1.8,0.2,0.2,0.1,0.1,0.203,0.270,0.349,0.619,0.264,657247
748,Jacob Wilson,OAK,R,SS,SS,9,23,22,2.0,0.3,1.8,0.3,4.5,3.3,0.9,0.1,6.3,4.4,1.0,0.3,0.2,0.1,0.1,0.210,0.250,0.291,0.541,0.249,805779
749,Cam Gallagher,PHI,R,C,C,9,22,20,2.3,0.4,2.0,0.2,4.2,2.8,1.0,0.1,6.4,6.1,1.4,0.2,0.2,0.2,0.1,0.206,0.261,0.314,0.574,0.271,12981
750,Greg Allen,NYY,S,OF,OF,9,22,19,2.7,0.4,2.2,1.1,4.2,2.8,0.9,0.1,6.6,6.1,1.9,0.7,0.2,0.1,0.3,0.218,0.305,0.340,0.645,0.291,16623
