#,Name,Team,Bats,ESPN,YAHOO,G,PA,AB,R,HR,RBI,SB,H,1B,2B,3B,TB,SO,BB,HBP,SF,SH,CS,AVG,OBP,SLG,OPS,BABIP,RazzID
35,Fernando Tatis Jr.,SD,R,OF,OF,145,627,555,97.6,33.7,87.6,24.2,154.3,86.6,32.7,1.3,290.8,133.8,59.3,5.0,4.4,4.2,7.2,0.279,0.349,0.524,0.873,0.308,665487
36,Spencer Torkelson,DET,R,1B,1B,151,627,546,81.2,29.0,84.8,2.6,131.9,76.6,24.9,1.4,246.4,145.6,68.5,6.7,4.7,1.4,1.2,0.242,0.330,0.451,0.781,0.274,679529
37,Steven Kwan,CLE,L,OF,OF,147,624,548,83.7,8.5,55.7,17.7,153.5,106.3,33.6,5.0,222.8,67.0,62.1,5.0,3.9,5.8,5.2,0.280,0.353,0.407,0.760,0.305,680757
38,Ozzie Albies,ATL,S,2B,2B,145,623,565,93.3,26.9,90.9,12.1,157.8,94.4,32.8,3.7,278.6,103.6,44.0,5.7,4.5,3.7,4.0,0.279,0.334,0.493,0.827,0.298,16556
39,Jose Altuve,HOU,R,2B,2B,140,622,543,97.8,23.8,74.6,14.8,148.1,92.3,30.3,1.6,253.1,100.8,62.3,6.6,3.9,5.9,4.8,0.273,0.349,0.466,0.815,0.294,5417
40,Adolis Garcia,TEX,R,OF,OF,148,621,562,79.4,30.4,93.2,12.7,135.9,77.5,26.4,1.6,256.6,177.9,49.0,6.5,4.3,1.0,4.5,0.242,0.308,0.457,0.765,0.295,666969
41,Lane Thomas,WSH,R,OF,OF,151,620,558,76.8,21.7,70.8,14.2,137.8,82.5,31.2,2.5,238.9,156.2,45.5,7.0,4.3,4.3,5.5,0.247,0.307,0.428,0.735,0.302,657041
42,Andres Gimenez,CLE,L,2B,2B,150,620,558,75.5,18.3,72.9,25.5,148.2,93.0,33.2,3.7,243.7,115.4,37.1,17.5,4.5,3.3,7.6,0.266,0.327,0.437,0.764,0.303,665926
43,Christian Walker,ARI,R,1B,1B,150,619,547,78.1,27.0,90.5,5.3,138.8,83.3,26.7,1.9,250.0,128.5,60.6,7.0,4.2,0.9,2.2,0.254,0.334,0.458,0.791,0.283,13419
44,Pete Alonso,NYM,R,1B,1B,150,618,540,88.2,39.0,104.3,3.8,134.3,71.1,22.7,1.5,277.0,135.2,63.2,12.4,4.5,0.8,1.6,0.249,0.340,0.514,0.854,0.258,624413
45,Manny Machado,SD,R,3B,3B,148,615,551,82.0,30.1,92.9,5.5,148.0,89.3,27.7,0.9,267.7,117.9,56.3,3.2,4.3,1.1,2.2,0.269,0.338,0.486,0.824,0.290,11493
46,Gleyber Torres,NYY,R,2B,2B,148,613,542,81.5,23.8,82.9,14.1,146.3,95.0,25.8,1.7,247.0,106.3,57.4,3.8,4.1,4.2,5.0,0.270,0.339,0.456,0.795,0.295,16997
47,Nico Hoerner,CHC,R,2B/SS,2B/SS,148,613,551,76.2,10.6,59.5,28.5,155.1,114.6,26.0,3.8,220.6,74.9,44.0,9.8,4.4,3.8,8.7,0.282,0.341,0.400,0.741,0.307,663538
48,Alec Bohm,PHI,R,1B/3B,1B/3B,150,611,557,73.8,18.7,78.8,4.6,154.1,104.0,30.2,1.2,242.7,108.2,43.4,5.4,4.3,2.4,2.0,0.277,0.332,0.435,0.767,0.312,664761
49,Aaron Judge,NYY,R,OF,OF,141,610,504,103.3,42.5,100.7,7.4,136.5,73.2,20.3,0.6,285.4,163.0,92.4,4.4,4.5,2.2,2.7,0.271,0.383,0.566,0.949,0.311,15640
50,Willy Adames,MIL,R,SS,SS,148,610,538,74.5,24.9,78.6,6.8,128.8,73.9,28.5,1.5,235.1,156.3,63.0,3.7,4.8,2.1,3.1,0.239,0.320,0.437,0.758,0.287,642715
51,Yordan Alvarez,HOU,L,OF,OF,141,608,512,104.9,38.8,104.8,1.4,153.9,87.1,25.8,2.2,300.5,119.7,79.1,9.9,4.4,2.6,0.6,0.301,0.399,0.587,0.987,0.322,670541
52,Elly De La Cruz,CIN,S,SS/3B,SS/3B,144,608,546,79.7,24.0,76.9,33.6,135.1,75.2,30.3,5.6,248.7,182.4,49.5,4.5,4.3,3.5,12.2,0.248,0.311,0.456,0.767,0.323,682829
53,Nolan Jones,COL,L,OF,1B/OF,147,607,522,80.2,22.8,78.5,15.7,138.1,87.6,24.0,3.7,237.8,175.1,70.2,5.5,4.6,1.3,5.9,0.264,0.353,0.455,0.808,0.350,666134
54,Nick Castellanos,PHI,R,OF,OF,148,606,558,72.8,22.2,81.7,6.9,145.2,88.8,32.7,1.5,247.6,150.9,36.9,4.8,4.4,2.4,2.8,0.260,0.309,0.444,0.753,0.316,11737
55,Andrew Benintendi,CHW,L,OF,OF,145,603,536,74.0,11.0,55.9,10.9,143.7,98.2,32.7,1.9,213.2,97.0,53.8,3.6,4.0,4.8,4.1,0.268,0.333,0.397,0.731,0.307,17901
56,Oneil Cruz,PIT,L,SS,SS,141,602,532,84.1,27.5,78.4,21.2,134.8,76.9,26.2,4.1,251.7,155.8,57.8,4.8,3.8,5.4,7.2,0.254,0.328,0.473,0.801,0.304,665833
57,Andrew Vaughn,CHW,R,1B,1B,151,600,543,73.6,24.3,81.9,0.9,142.8,82.9,34.0,1.6,252.8,120.4,41.1,9.2,4.7,2.0,0.4,0.263,0.321,0.466,0.787,0.294,683734
58,Michael Harris II,ATL,L,OF,OF,150,599,551,84.3,23.4,88.9,22.4,160.6,97.7,36.4,3.0,273.2,115.3,34.9,6.6,4.3,3.2,6.8,0.292,0.337,0.496,0.833,0.330,671739
59,Dansby Swanson,CHC,R,SS,SS,148,595,531,70.1,19.8,71.3,9.7,133.3,87.1,24.3,2.1,221.1,145.4,51.9,4.7,4.7,2.5,3.5,0.251,0.319,0.416,0.735,0.306,18314
60,Bryce Harper,PHI,L,1B,1B,142,594,501,88.4,29.7,93.3,11.9,143.8,83.0,29.8,1.4,265.4,130.0,84.6,5.3,4.5,0.8,4.1,0.287,0.393,0.530,0.923,0.330,11579
61,Cody Bellinger,CHC,L,1B/OF,1B/OF,144,594,535,72.8,23.6,81.8,17.4,139.1,89.0,24.3,2.1,238.5,124.7,48.8,4.2,4.4,1.5,5.6,0.260,0.323,0.446,0.769,0.295,15998
62,Thairo Estrada,SF,R,2B/SS,2B/SS,143,594,542,69.4,16.6,63.2,21.7,140.1,99.7,21.5,2.3,215.8,117.1,34.2,10.8,4.2,2.7,7.5,0.258,0.312,0.398,0.710,0.299,642731
63,Ezequiel Tovar,COL,R,SS,SS,150,593,547,70.7,17.0,67.5,12.5,143.9,96.0,27.7,3.2,229.0,140.8,30.1,5.2,4.6,4.6,5.0,0.263,0.302,0.418,0.720,0.322,678662
64,Ke’Bryan Hayes,PIT,R,3B,3B,141,592,539,70.8,15.5,69.0,16.3,142.3,93.8,28.3,4.7,226.7,121.5,44.8,3.6,4.4,1.8,5.6,0.264,0.322,0.421,0.743,0.312,663647
65,Carlos Correa,MIN,R,SS,SS,141,591,520,76.6,20.3,73.0,1.0,135.3,84.4,28.8,1.8,228.4,123.9,62.4,4.7,4.4,1.8,0.4,0.260,0.342,0.439,0.781,0.303,14162
66,Luis Robert Jr.,CHW,R,OF,OF,144,591,542,78.6,30.0,87.6,17.2,145.1,78.8,35.3,1.0,272.4,150.7,33.3,9.0,4.5,1.1,5.9,0.267,0.317,0.503,0.820,0.314,673357
67,Nolan Arenado,STL,R,3B,3B,143,591,535,74.9,25.7,89.0,3.9,140.5,84.6,28.5,1.7,249.5,90.9,45.2,4.7,4.1,0.8,1.8,0.263,0.323,0.466,0.789,0.272,9777
68,Adley Rutschman,BAL,S,C,C,140,589,496,87.3,19.3,66.9,3.0,135.3,83.3,31.5,1.2,227.0,92.4,77.3,5.0,4.2,3.9,1.3,0.273,0.370,0.458,0.827,0.298,668939
69,Jake Burger,MIA,R,3B,3B,145,589,535,72.1,26.3,82.0,2.0,133.3,80.5,24.2,2.4,241.0,158.6,39.0,8.8,4.5,1.4,0.9,0.249,0.308,0.450,0.758,0.302,669394
70,George Springer,TOR,R,OF,OF,138,587,518,82.4,23.7,72.6,13.8,133.7,81.8,26.4,1.7,234.9,112.3,52.8,6.3,3.7,5.4,4.2,0.258,0.328,0.453,0.781,0.285,12856
71,Riley Greene,DET,L,OF,OF,140,586,520,74.6,16.1,62.4,7.3,141.6,101.0,19.4,5.2,219.7,147.2,52.8,4.7,4.1,3.8,2.9,0.272,0.340,0.422,0.762,0.348,682985
72,Anthony Volpe,NYY,R,SS,SS,149,586,517,72.9,21.0,70.5,22.2,118.5,69.8,24.4,3.3,212.4,143.2,52.5,7.3,4.3,3.5,7.4,0.229,0.304,0.411,0.715,0.273,683011
73,Zack Gelof,OAK,R,2B,2B,144,585,522,70.8,19.4,61.3,18.8,122.7,72.8,28.9,1.6,212.8,166.6,50.4,4.6,4.2,3.7,7.1,0.235,0.303,0.408,0.711,0.304,680869
74,Evan Carter,TEX,L,OF,OF,145,583,502,74.4,16.2,67.8,15.0,126.9,80.0,26.7,4.0,210.2,147.6,70.7,6.4,4.5,1.0,6.6,0.253,0.350,0.418,0.768,0.323,694497
75,Yandy Diaz,TB,R,1B,1B,135,581,496,88.9,18.3,65.8,3.1,145.5,96.8,29.8,0.6,231.4,86.4,70.6,6.5,3.7,5.3,1.2,0.294,0.384,0.466,0.850,0.322,650490
76,Maikel Garcia,KC,R,3B,SS/3B,144,581,519,72.5,8.4,52.3,23.0,140.3,102.5,26.4,3.0,198.0,117.1,48.2,3.6,3.7,5.1,7.7,0.271,0.331,0.381,0.712,0.332,672580
77,Anthony Santander,BAL,S,OF,1B/OF,144,579,518,74.5,27.0,86.7,3.0,130.9,72.9,30.1,0.8,243.7,127.7,46.7,7.6,4.1,0.9,1.5,0.253,0.320,0.470,0.790,0.283,623993
78,Josh Jung,TEX,R,3B,3B,144,578,530,70.5,25.1,82.7,3.9,133.9,81.4,25.9,1.6,238.2,164.7,36.2,6.5,4.7,1.7,1.8,0.253,0.306,0.450,0.756,0.316,673962
79,Triston Casas,BOS,L,1B,1B,142,577,484,81.1,27.3,84.7,1.6,126.0,72.8,23.5,2.4,236.2,131.6,82.2,4.0,4.0,1.4,0.7,0.260,0.368,0.488,0.856,0.300,671213
80,Seiya Suzuki,CHC,R,OF,OF,138,576,504,77.9,21.9,71.3,8.9,133.3,84.4,23.6,3.4,229.2,131.7,60.9,4.5,4.1,2.9,4.6,0.265,0.345,0.455,0.799,0.315,673548
81,Spencer Steer,CIN,R,1B/3B/ OF,1B/2B/ 3B/OF,141,574,505,73.0,20.6,76.1,8.5,128.8,70.4,36.0,1.9,230.3,122.9,55.5,8.6,4.3,1.2,3.6,0.255,0.336,0.456,0.793,0.296,668715
82,Bryson Stott,PHI,L,2B,2B,147,574,520,65.8,13.8,64.6,18.6,138.9,96.5,26.5,2.2,211.1,99.6,44.0,4.6,4.5,2.4,6.4,0.267,0.326,0.407,0.733,0.305,681082
83,Mike Trout,LAA,R,OF,OF,137,573,492,84.6,32.5,87.9,2.7,127.8,68.3,25.1,1.9,254.2,161.4,65.7,8.1,4.3,1.6,1.0,0.259,0.353,0.516,0.869,0.315,10155
84,Josh Bell,MIA,S,1B,1B,142,572,496,72.8,20.9,70.2,1.2,127.5,83.6,21.6,1.3,214.5,111.3,64.2,4.2,4.2,2.6,0.5,0.257,0.343,0.432,0.775,0.289,13145
85,Jeremy Pena,HOU,R,SS,SS,151,568,518,72.7,17.0,70.0,12.3,136.2,89.6,27.3,2.3,219.1,120.0,34.2,7.6,4.4,4.1,5.2,0.263,0.314,0.423,0.736,0.309,665161
86,Marcell Ozuna,ATL,R,DH,DH,142,567,508,78.3,30.0,90.9,1.4,130.2,75.3,23.8,1.0,246.1,131.6,49.9,4.1,4.5,1.9,0.6,0.256,0.325,0.484,0.809,0.286,10324
87,Teoscar Hernandez,LAD,R,OF,OF,141,567,520,73.3,27.9,87.9,6.6,133.9,75.7,29.0,1.3,249.1,164.7,35.4,5.6,4.0,1.8,2.5,0.258,0.309,0.479,0.788,0.320,13066
88,Ryan McMahon,COL,L,2B/3B,2B/3B,144,567,495,67.8,20.5,70.2,6.9,120.9,77.5,20.7,2.2,207.5,163.7,59.4,4.0,4.5,1.8,3.0,0.244,0.325,0.419,0.744,0.318,15112
89,Bryan De La Cruz,MIA,R,OF,OF,144,565,516,64.9,18.3,69.6,4.3,135.4,90.5,25.7,0.8,217.7,129.4,37.7,3.5,4.4,3.4,1.8,0.262,0.312,0.422,0.734,0.314,650559
90,Jung Hoo Lee,SF,L,OF,OF,141,564,504,71.2,10.6,56.9,8.0,146.3,102.5,29.6,3.7,214.9,51.5,45.9,5.1,3.5,5.4,3.0,0.290,0.350,0.426,0.776,0.304,808982
91,Jorge Polanco,SEA,S,2B,2B/3B,137,562,494,70.0,20.1,67.6,5.9,120.9,71.9,28.3,0.6,210.8,130.5,57.3,4.7,4.2,1.3,2.5,0.245,0.326,0.426,0.752,0.290,13152
92,Jazz Chisholm Jr.,MIA,L,OF,OF,140,562,507,67.7,24.8,77.3,25.0,123.9,77.0,18.6,3.6,224.0,157.7,44.0,5.1,3.8,1.6,9.2,0.244,0.307,0.441,0.749,0.302,665862
93,Josh Naylor,CLE,L,1B,1B,138,560,508,72.2,22.8,82.9,7.9,144.4,84.8,36.2,0.5,250.1,85.2,43.2,5.0,3.9,0.9,3.3,0.284,0.344,0.492,0.836,0.301,647304
94,Jonathan India,CIN,R,2B,2B,136,560,483,75.2,18.4,65.7,11.8,124.4,72.0,32.9,1.0,214.4,116.6,54.6,14.3,3.6,4.7,4.0,0.258,0.345,0.444,0.789,0.301,663697
95,Royce Lewis,MIN,R,3B,3B,136,560,502,76.0,26.1,79.4,11.2,133.5,79.8,26.1,1.6,240.9,127.7,47.9,6.4,3.9,1.0,4.7,0.265,0.336,0.480,0.815,0.305,668904
96,Jordan Walker,STL,R,OF,OF,142,560,498,68.2,18.9,71.8,9.2,132.3,85.0,26.3,2.0,219.5,125.1,46.7,7.4,4.2,3.0,3.7,0.265,0.333,0.440,0.773,0.316,691023
97,Jorge Soler,SF,R,OF,OF,138,559,485,71.0,28.2,78.4,1.6,117.1,69.5,18.7,0.8,221.8,140.8,61.9,5.4,4.0,3.3,0.7,0.242,0.330,0.457,0.787,0.278,14221
98,Yoan Moncada,CHW,S,3B,3B,137,559,495,67.6,16.6,60.4,2.7,123.4,75.9,29.8,1.3,205.4,152.9,50.5,5.7,4.1,3.1,1.1,0.249,0.321,0.415,0.735,0.324,17232
99,Edouard Julien,MIN,L,2B,2B,137,555,463,74.0,15.7,55.3,6.4,111.2,69.7,24.5,1.4,185.5,162.3,80.7,5.0,3.5,5.0,2.2,0.240,0.355,0.400,0.755,0.330,666397
100,Rhys Hoskins,MIL,R,1B,1B,137,554,483,71.4,26.7,78.2,3.0,116.4,63.4,24.7,1.6,224.4,143.8,62.4,5.5,3.8,1.5,1.4,0.242,0.333,0.465,0.798,0.284,656555
101,Chas McCormick,HOU,R,OF,OF,141,554,486,69.2,20.6,68.9,15.5,118.0,76.6,19.0,1.9,202.5,148.1,53.6,7.4,4.1,3.1,6.1,0.243,0.323,0.417,0.740,0.304,676801
102,Luis Rengifo,LAA,S,2B/SS/ 3B/OF,2B/SS/ 3B/OF,138,553,499,71.9,19.1,66.4,8.7,129.9,84.8,22.1,3.9,216.9,98.7,39.8,6.1,4.1,3.2,3.7,0.260,0.318,0.434,0.752,0.287,650859
103,Masataka Yoshida,BOS,L,OF,OF,140,553,491,73.7,17.3,71.1,4.7,143.9,98.0,26.4,2.2,226.7,70.3,48.6,6.8,3.9,2.0,1.9,0.293,0.360,0.461,0.821,0.311,807799
104,Eugenio Suarez,ARI,R,3B,3B,142,552,480,63.5,19.9,65.4,1.6,110.4,68.9,20.7,0.9,192.5,163.0,58.2,8.4,4.1,2.3,0.7,0.230,0.320,0.402,0.722,0.301,12552
105,Justin Turner,TOR,R,1B,1B/3B,137,552,491,65.9,16.3,67.8,2.9,126.0,80.0,29.2,0.5,204.9,102.9,46.6,8.3,3.9,1.2,1.1,0.256,0.328,0.417,0.746,0.292,5235
106,Jeff McNeil,NYM,L,2B/OF,2B/OF,138,552,500,66.6,10.0,62.2,4.8,144.2,99.1,32.6,2.5,211.8,62.8,36.8,11.2,4.0,1.3,2.0,0.288,0.349,0.423,0.772,0.311,643446
107,Jarren Duran,BOS,L,OF,OF,138,552,495,69.8,14.2,60.2,24.2,127.4,79.6,29.4,4.3,207.9,141.2,42.5,6.1,3.6,4.8,6.6,0.258,0.319,0.420,0.739,0.330,680776
108,Brandon Drury,LAA,R,1B/2B,1B/2B,138,548,502,67.0,23.3,77.2,2.5,125.1,72.6,27.0,2.2,226.5,135.5,32.1,6.7,4.3,1.8,1.2,0.249,0.299,0.450,0.750,0.292,11615
109,Anthony Rizzo,NYY,L,1B,1B,136,548,474,70.8,23.6,76.7,4.5,115.0,68.4,22.1,0.9,209.8,114.7,51.1,16.0,3.9,1.0,2.1,0.243,0.333,0.443,0.775,0.269,3473
110,Vinnie Pasquantino,KC,L,1B,1B,137,548,475,75.0,22.6,79.0,2.2,131.4,79.3,28.0,1.4,230.1,74.6,60.6,5.5,4.1,1.0,0.9,0.277,0.360,0.484,0.844,0.284,686469
111,Trevor Story,BOS,R,SS,SS,134,545,488,65.0,18.3,65.6,20.4,114.4,69.2,25.5,1.4,197.6,155.1,44.6,6.8,4.1,1.2,6.3,0.234,0.304,0.405,0.709,0.301,12564
112,Wyatt Langford,TEX,R,OF,OF,137,543,471,75.2,24.6,78.9,21.6,127.1,75.7,24.6,2.2,230.0,122.4,61.4,6.1,3.7,2.0,8.9,0.270,0.359,0.489,0.848,0.313,694671
113,Isaac Paredes,TB,R,1B/3B,1B/2B/ 3B,137,540,466,71.3,25.4,77.1,1.3,114.6,65.3,23.0,0.9,215.5,93.5,60.4,9.6,3.8,1.3,0.6,0.246,0.342,0.463,0.805,0.254,670623
114,Matt Chapman,SF,R,3B,3B,141,539,468,61.3,19.4,63.6,3.4,107.5,66.3,19.8,2.0,189.5,155.5,59.6,6.3,3.8,1.3,1.6,0.230,0.321,0.405,0.726,0.296,16505
115,Christopher Morel,CHC,R,OF,2B/OF,137,539,482,68.9,25.8,75.4,9.9,117.6,67.2,21.2,3.5,223.2,158.5,47.5,4.2,3.8,1.9,4.2,0.244,0.314,0.463,0.777,0.305,666624
116,Charlie Blackmon,COL,L,OF,OF,129,537,476,72.0,13.3,58.1,5.2,132.9,93.4,21.6,4.6,203.5,90.1,41.5,9.3,3.5,4.5,1.9,0.279,0.342,0.428,0.769,0.318,7859
117,Lourdes Gurriel Jr.,ARI,R,OF,OF,134,534,490,63.4,16.4,69.2,4.0,135.4,88.4,28.8,1.8,216.9,96.0,33.8,5.3,4.1,1.2,1.9,0.276,0.327,0.443,0.769,0.312,666971
118,Jeimer Candelario,CIN,S,1B/3B,1B/3B,134,530,470,65.1,20.1,72.4,4.2,118.0,64.5,31.9,1.6,213.4,121.9,46.9,7.3,4.2,1.7,1.8,0.251,0.325,0.454,0.780,0.295,13621
119,Tim Anderson,MIA,R,SS,SS,137,527,490,57.4,7.8,51.6,12.8,139.0,106.6,22.2,2.4,189.2,109.2,25.3,4.2,3.9,2.8,4.0,0.283,0.320,0.386,0.706,0.348,15172
120,Christian Encarnacion-Strand,CIN,R,1B,1B,134,527,476,71.2,28.1,84.6,3.1,129.8,69.9,30.5,1.3,247.3,134.4,37.9,6.4,3.9,2.8,1.2,0.273,0.331,0.520,0.850,0.320,687952
121,Jackson Chourio,MIL,R,OF,OF,140,527,483,61.9,16.6,60.2,33.2,122.7,80.5,23.6,2.0,200.2,115.8,33.3,4.1,3.9,2.9,13.0,0.254,0.304,0.414,0.718,0.299,694192
122,Kerry Carpenter,DET,L,OF,OF,134,526,477,61.7,20.9,70.4,4.3,121.1,81.6,16.1,2.5,204.8,129.7,37.7,7.5,3.7,0.9,2.1,0.254,0.316,0.430,0.745,0.304,681481
123,Max Muncy,LAD,L,3B,3B,133,524,435,69.6,25.2,73.4,2.1,97.7,51.5,19.9,1.0,195.3,134.9,75.9,6.3,4.1,1.4,0.9,0.225,0.343,0.449,0.792,0.260,13301
124,Jose Abreu,HOU,R,1B,1B,133,524,467,63.8,16.5,67.1,1.0,121.5,79.4,24.6,1.0,197.6,111.1,43.1,8.8,4.1,1.3,0.4,0.260,0.331,0.423,0.754,0.306,15676
125,Eloy Jimenez,CHW,R,DH,OF,133,524,476,67.5,25.8,81.7,0.5,131.9,78.1,27.5,0.5,237.9,108.4,39.2,3.8,3.6,0.8,0.2,0.277,0.334,0.499,0.833,0.307,650391
126,Ryan Mountcastle,BAL,R,1B,1B,132,524,472,66.8,22.8,72.6,3.8,123.1,78.1,21.1,1.2,214.9,128.7,41.7,4.1,3.7,1.7,1.6,0.260,0.322,0.455,0.777,0.309,663624
127,Carlos Santana,MIN,S,1B,1B,134,522,456,61.5,18.1,64.4,3.0,108.5,67.4,22.2,0.8,186.7,95.4,60.7,2.5,3.7,1.5,1.1,0.239,0.329,0.410,0.739,0.261,2396
128,William Contreras,MIL,R,C,C,126,521,458,69.8,20.0,65.9,3.7,125.7,79.4,25.2,1.1,213.1,114.2,52.6,4.6,3.8,3.0,1.5,0.275,0.351,0.465,0.816,0.323,661388
129,Ty France,SEA,R,1B,1B,135,521,461,62.0,14.6,62.3,0.9,123.4,78.0,30.2,0.6,198.5,89.8,34.7,17.9,4.0,3.4,0.4,0.267,0.338,0.431,0.769,0.302,664034
130,Taylor Ward,LAA,R,OF,OF,129,515,451,67.5,19.1,66.3,5.4,118.7,73.4,25.2,1.1,203.3,109.9,51.1,7.2,3.5,1.7,2.3,0.264,0.344,0.451,0.795,0.306,621493
131,Joey Meneses,WSH,R,DH,1B,131,514,472,59.2,16.3,65.3,0.7,125.5,81.4,26.6,1.1,203.1,110.7,33.1,4.0,3.6,0.9,0.3,0.266,0.317,0.431,0.747,0.314,608841
132,Jake Cronenworth,SD,L,1B/2B,1B/2B,134,512,452,59.3,12.3,57.6,4.0,112.5,67.9,27.6,4.7,186.5,94.8,46.9,9.4,3.8,1.4,1.6,0.249,0.330,0.413,0.742,0.288,630105
133,Sal Frelick,MIL,L,OF,OF,130,512,451,59.8,8.6,49.8,12.6,120.1,85.0,23.6,2.9,175.4,71.8,49.6,5.1,3.3,4.4,4.4,0.267,0.342,0.389,0.731,0.299,686217
134,Brendan Donovan,STL,L,2B/OF,1B/2B/ OF,125,508,435,70.0,11.0,49.8,6.4,120.3,86.2,21.5,1.6,178.0,77.8,54.4,10.3,3.3,4.4,2.5,0.277,0.364,0.410,0.774,0.313,680977
135,Brendan Rodgers,COL,R,2B,2B,130,507,460,61.4,14.7,63.7,0.9,128.4,87.5,23.5,2.6,201.3,96.0,35.0,5.7,3.5,1.0,0.4,0.280,0.334,0.438,0.771,0.322,663898
136,Ryan Noda,OAK,L,1B,1B,133,505,416,60.2,17.2,50.8,5.2,87.1,50.8,18.2,1.0,158.8,166.5,72.3,8.7,3.3,4.2,1.8,0.210,0.333,0.382,0.715,0.298,676116
137,James Outman,LAD,L,OF,OF,137,505,435,63.4,18.5,61.6,8.9,99.7,58.3,20.3,2.5,180.6,156.9,53.6,8.2,3.7,2.9,3.4,0.229,0.320,0.415,0.735,0.308,681546
138,Daulton Varsho,TOR,L,OF,OF,137,504,451,63.6,21.4,66.0,14.1,107.4,62.0,21.8,2.2,197.8,117.2,42.2,4.5,3.9,2.1,5.2,0.238,0.305,0.438,0.743,0.272,662139
139,MJ Melendez,KC,L,OF,C/OF,130,503,435,63.3,18.6,62.8,5.4,104.6,61.7,21.4,3.0,187.8,127.4,57.5,3.0,3.9,1.8,2.6,0.241,0.329,0.432,0.760,0.294,669004
140,Parker Meadows,DET,L,OF,OF,130,502,445,59.5,12.9,48.8,11.5,104.0,71.2,14.7,5.1,167.7,117.2,45.6,4.0,3.2,4.6,3.7,0.233,0.305,0.377,0.682,0.286,678009
141,Orlando Arcia,ATL,R,SS,SS,140,500,447,65.2,16.4,63.3,1.7,112.8,74.4,21.3,0.6,184.6,96.6,41.3,3.9,4.0,3.9,0.7,0.252,0.316,0.413,0.729,0.285,13185
142,Byron Buxton,MIN,R,DH,DH,123,499,443,65.7,25.5,70.4,9.0,102.3,51.2,23.5,2.1,206.3,147.2,43.4,7.0,3.5,2.9,2.9,0.231,0.306,0.466,0.772,0.280,14161
143,Nathaniel Lowe,TEX,L,1B,1B,129,499,435,64.9,17.4,65.6,2.0,117.6,73.4,24.9,1.9,198.3,114.2,57.1,3.5,3.8,1.1,0.8,0.270,0.357,0.456,0.813,0.326,663993
144,Starling Marte,NYM,R,OF,OF,128,498,453,58.0,12.4,54.5,25.4,118.3,82.9,20.3,2.7,181.1,104.3,30.1,10.0,3.9,2.0,6.8,0.261,0.318,0.399,0.717,0.311,9241
145,Nolan Gorman,STL,L,2B,2B/3B,127,497,438,64.3,25.0,71.2,5.3,106.5,62.0,18.9,0.6,201.6,142.8,49.0,4.0,3.8,1.1,2.2,0.243,0.321,0.460,0.781,0.297,669357
146,Brent Rooker,OAK,R,OF,OF,130,493,432,58.4,22.8,63.7,2.7,95.3,51.4,20.2,1.0,185.7,163.4,47.1,9.1,3.5,0.9,1.2,0.221,0.307,0.430,0.737,0.291,667670
147,Max Kepler,MIN,L,OF,OF,125,489,430,62.2,18.8,63.1,3.2,107.6,64.1,22.9,1.9,190.6,96.6,49.7,5.4,3.8,1.6,1.4,0.250,0.333,0.443,0.776,0.279,12144
148,Kris Bryant,COL,R,OF,1B/OF,121,489,430,64.8,17.7,62.0,2.7,117.3,76.9,21.5,1.3,194.5,101.0,43.7,6.5,3.5,2.8,1.0,0.272,0.343,0.452,0.795,0.316,15429
149,Brandon Lowe,TB,L,2B,2B,122,489,425,65.5,21.6,63.3,5.0,101.7,57.4,21.2,1.5,190.6,127.9,51.5,6.5,3.5,2.9,1.7,0.239,0.327,0.448,0.774,0.287,664040
150,Salvador Perez,KC,R,C/1B,C/1B,122,487,454,60.2,22.8,73.0,0.5,118.5,76.0,18.9,0.7,207.3,116.8,19.8,8.2,3.4,0.7,0.2,0.261,0.301,0.457,0.757,0.301,7304
151,Alex Verdugo,NYY,L,OF,OF,122,485,438,61.8,12.8,55.9,4.6,116.8,75.8,26.3,1.9,185.4,75.4,36.5,3.9,3.3,2.3,1.9,0.267,0.324,0.424,0.748,0.295,657077
152,J.D. Martinez,NYM,R,DH,DH,123,483,436,58.1,20.1,65.4,0.9,104.6,60.5,22.5,1.5,190.5,141.7,40.6,3.8,3.7,1.0,0.4,0.240,0.309,0.437,0.746,0.304,6184
153,DJ LeMahieu,NYY,R,1B/3B,1B/2B/ 3B,120,482,419,60.4,11.7,50.3,3.7,107.6,77.2,17.1,1.7,163.2,91.2,50.8,3.8,3.3,3.1,1.4,0.256,0.337,0.389,0.726,0.300,9874
154,Zach Neto,LAA,R,SS,SS,132,481,429,62.5,16.0,56.7,8.5,107.9,67.0,23.9,1.0,181.7,107.7,32.2,12.0,3.7,3.9,2.8,0.252,0.316,0.424,0.740,0.298,687263
155,Jack Suwinski,PIT,L,OF,OF,122,478,409,60.1,21.8,62.9,8.1,92.2,49.9,19.2,1.3,179.4,145.1,60.1,5.3,3.4,1.2,3.4,0.226,0.330,0.438,0.768,0.286,669261
156,Willson Contreras,STL,R,C,C,119,477,412,62.3,19.8,63.6,5.0,103.7,61.0,22.2,0.7,186.8,108.9,46.6,12.6,3.8,1.6,2.4,0.251,0.342,0.453,0.795,0.292,11609
157,Ramon Laureano,CLE,R,OF,OF,122,477,424,52.9,14.9,55.3,12.3,97.8,57.8,22.7,2.5,170.0,131.3,38.1,10.1,3.7,1.5,4.4,0.231,0.306,0.401,0.707,0.295,657656
